response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.8124,0.4072,0.7939,10/26/18 22:33
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.8762,1.8528,1.2081,1.8296,10/26/18 22:41
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,35 to 49,White,Less than 50 percent,Cell,1,0.3627,1.7163,3.7534,1.9873,10/26/18 22:41
Rep,18 to 34,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Mecklenburg,18 to 34,White,Less than 50 percent,Cell,1,0.213,1.944,7.3158,2.5352,10/26/18 22:43
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,50 to 64,White,50 to 85 percent,Cell,1,0.7774,1.0708,0.424,1.0757,10/26/18 22:44
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,Less than 50 percent,Cell,0.4444,0.1306,1.4219,4.15,0.817,10/26/18 22:45
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.8062,0.6865,0.4998,0.6995,10/26/18 22:45
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.802,0.4883,0.242,0.4744,10/26/18 22:51
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Not very likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,Mecklenburg,50 to 64,White,Less than 50 percent,Cell,0,0.1125,0.6202,1.8311,0.1651,10/26/18 22:54
Und,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Union,65 and older,Unknown,Less than 50 percent,Cell,0,0.3676,1.6836,3.7631,0.709,10/26/18 22:55
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.3663,0.1837,0.3598,10/26/18 22:58
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,50 to 64,White,85 percent or higher,Cell,1,0.9467,1.2615,0.5067,1.2348,10/26/18 22:59
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,35 to 49,White,Less than 50 percent,Cell,1,0.2842,2.0855,6.4186,2.5463,10/26/18 23:01
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9635,0.8151,0.426,0.8014,10/26/18 23:05
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Landline,1,0.3935,0.5342,0.757,0.6444,10/26/18 23:08
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,1.0271,0.4539,1.0037,10/26/18 23:10
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,or as a member of another political party,Nonwhite,Rest,65 and older,Black,Less than 50 percent,Landline,1,0.4868,0.6809,1.0314,0.7787,10/26/18 23:12
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Black,85 percent or higher,Cell,1,0.97,0.7027,0.5061,0.6867,10/26/18 23:13
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Union,35 to 49,White,50 to 85 percent,Cell,1,0.652,0.8547,0.8296,0.8442,10/26/18 23:14
Und,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,18 to 34,White,85 percent or higher,Cell,1,0.9458,1.1171,0.7554,1.0936,10/26/18 23:14
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Cell,1,0.9452,0.4759,0.2855,0.4659,10/26/18 23:18
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,1.3524,0.7646,1.3215,10/26/18 23:21
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Landline,1,0.9376,0.8271,0.4988,0.8173,10/26/18 23:21
3,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",Union,35 to 49,White,Less than 50 percent,Landline,0.7778,0.2938,0.8617,2.9623,0.6659,10/26/18 23:21
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Mecklenburg,18 to 34,White,50 to 85 percent,Cell,1,0.6159,2.8225,3.3216,2.9472,10/26/18 23:22
Dem,35 to 49,Some college or trade school,Black,Female,Black,Don't know,Dems. take House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Mecklenburg,35 to 49,Black,50 to 85 percent,Cell,1,0.7663,1.4754,1.2975,1.3349,10/26/18 23:22
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",Union,50 to 64,White,85 percent or higher,Landline,1,0.9007,2.833,1.7383,2.8212,10/26/18 23:23
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,35 to 49,Other Non-White,85 percent or higher,Landline,1,0.97,1.3767,0.5498,1.3453,10/26/18 23:23
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Cell,1,0.906,0.9353,0.6258,0.9303,10/26/18 23:24
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9648,0.403,0.1695,0.3961,10/26/18 23:26
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.9089,0.3962,0.1832,0.3894,10/26/18 23:28
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Union,65 and older,White,85 percent or higher,Cell,1,0.97,0.7655,0.5274,0.7518,10/26/18 23:30
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7417,0.8782,0.5448,0.8577,10/26/18 23:31
Rep,35 to 49,Some college or trade school,Black,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,35 to 49,Black,85 percent or higher,Landline,1,0.909,0.701,0.7588,0.678,10/26/18 23:35
Rep,35 to 49,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,Union,35 to 49,White,Less than 50 percent,Landline,1,0.2587,1.5649,5.222,1.7551,10/26/18 23:36
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Cell,1,0.8964,0.4828,0.2848,0.4813,10/26/18 23:37
3,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,0.7778,0.546,0.5292,0.4439,0.5315,10/26/18 23:38
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.8822,0.6327,0.248,0.6242,10/26/18 23:39
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.9673,1.7331,1.2788,1.6804,10/26/18 23:39
3,50 to 64,High school,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,Rest,50 to 64,White,Less than 50 percent,Cell,1,0.253,1.4124,3.8797,1.5899,10/26/18 23:42
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.898,1.7331,1.3763,1.7062,10/26/18 23:45
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Union,35 to 49,Black,Less than 50 percent,Cell,0.7778,0.4809,0.6705,1.2637,0.63,10/26/18 23:46
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,0.448,0.2073,0.4377,10/26/18 23:49
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,85 percent or higher,Landline,1,0.8543,1.1887,0.876,1.1965,10/26/18 23:50
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.8745,0.4785,0.305,0.4793,10/26/18 23:51
Und,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Rest,18 to 34,Black,Less than 50 percent,Cell,1,0.4373,1.506,3.7226,1.6778,10/26/18 23:53
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.979,0.4811,0.9567,10/26/18 23:53
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,50 to 64,Black,50 to 85 percent,Landline,1,0.697,1.1409,0.8943,1.1998,10/26/18 23:54
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,Rest,18 to 34,Black,50 to 85 percent,Landline,1,0.8001,1.0005,1.2253,1.021,10/26/18 23:58
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Union,35 to 49,White,85 percent or higher,Landline,1,0.9583,0.6864,0.4133,0.6712,10/26/18 23:59
Rep,35 to 49,High school,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Union,35 to 49,Unknown,Less than 50 percent,Landline,1,0.4356,3.4527,7.8614,3.8498,10/27/18 0:00
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Black,Female,Black,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,0.4444,0.8988,0.4785,0.2971,0.4002,10/27/18 0:01
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Landline,1,0.97,0.6368,0.3187,0.6254,10/27/18 0:01
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,Black,50 to 85 percent,Cell,1,0.7593,1.2142,0.9482,1.2242,10/27/18 0:02
Rep,65 and older,Some college or trade school,Other,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Rest,65 and older,Other Non-White,85 percent or higher,Landline,1,0.8997,1.7533,0.8867,1.7463,10/27/18 0:04
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Landline,1,0.97,0.4085,0.206,0.3991,10/27/18 0:04
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Mecklenburg,65 and older,White,50 to 85 percent,Landline,0.8889,0.6476,0.6398,0.3248,0.6474,10/27/18 0:04
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Mecklenburg,65 and older,Black,85 percent or higher,Landline,1,0.97,0.7051,0.3691,0.6925,10/27/18 0:04
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.666,1.0569,0.8472,1.1228,10/27/18 0:05
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Union,35 to 49,White,50 to 85 percent,Landline,1,0.7221,0.711,0.4511,0.7227,10/27/18 0:09
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Mecklenburg,50 to 64,White,Less than 50 percent,Cell,1,0.2748,1.0435,1.5721,1.2836,10/27/18 0:10
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.9505,1.1948,0.5894,1.1691,10/27/18 0:11
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,50 to 85 percent,Landline,1,0.6263,0.6896,0.43,0.743,10/27/18 0:11
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.8844,0.5556,0.2346,0.548,10/27/18 0:13
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Union,50 to 64,White,85 percent or higher,Landline,1,0.8635,0.7821,0.3881,0.7739,10/27/18 0:13
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.9222,0.5211,0.2746,0.5165,10/27/18 0:16
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Union,50 to 64,Black,85 percent or higher,Landline,1,0.9039,0.9969,0.6195,0.9642,10/27/18 0:18
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9688,1.3715,0.6576,1.3472,10/27/18 0:22
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Mecklenburg,65 and older,White,85 percent or higher,Landline,1,0.97,0.448,0.2073,0.44,10/27/18 0:28
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Union,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0148,0.5696,0.9916,10/27/18 0:29
Dem,18 to 34,High school,White,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Mecklenburg,18 to 34,White,Less than 50 percent,Cell,1,0.254,4.57,10.1,5.7225,10/27/18 0:29
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,50 to 64,White,Less than 50 percent,Cell,1,0.1651,1.4124,5.9378,1.9564,10/27/18 0:34
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,18 to 34,White,50 to 85 percent,Cell,0.8889,0.5526,1.1544,1.4989,1.195,10/27/18 0:35
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Union,65 and older,White,85 percent or higher,Landline,1,0.9349,0.8677,0.472,0.8504,10/27/18 0:37
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.545,0.6377,0.5257,0.7097,10/27/18 0:37
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Rest,35 to 49,White,50 to 85 percent,Cell,1,0.5038,0.4285,0.4437,0.486,10/27/18 0:37
Dem,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, No 4-Year College Degree",Rest,50 to 64,White,Less than 50 percent,Landline,0,0.245,2.1017,5.1566,0.7064,10/27/18 0:45
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Mecklenburg,35 to 49,White,85 percent or higher,Landline,1,0.97,0.979,0.4811,0.9615,10/27/18 0:45
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7777,0.8782,0.5202,0.8822,10/27/18 0:46
